"SourceFile","OriginalFile","Container","ID","XPath","Index","Value","Length","Class","Safety","NeedsFontWhenTranslated","NeedsLayoutReview","Placeholders","AlreadyPatched","Reason"
"Content\Config\Rivers.xml","Rivers.original.xml","tile","RIVER_LARGE","name","","TEXT.Name.Terrain.River","23","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Rivers.xml","Rivers.original.xml","tile","RIVER_LARGE","description","","TEXT.Description.Terrain.River","30","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Rivers.xml","Rivers.original.xml","tile","RIVER_SMALL","name","","TEXT.Name.Terrain.Stream","24","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Rivers.xml","Rivers.original.xml","tile","RIVER_SMALL","description","","TEXT.Description.Terrain.Stream","31","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Roads.xml","Roads.original.xml","tile","ROAD_ROMAN","name","","TEXT.Name.Road.Roman","20","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Roads.xml","Roads.original.xml","tile","ROAD_ROMAN","description","","TEXT.Description.Road.Roman","27","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Roads.xml","Roads.original.xml","tile","ROAD_PATH","name","","TEXT.Name.Road.Path","19","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Roads.xml","Roads.original.xml","tile","ROAD_PATH","description","","TEXT.Description.Road.Path","26","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Terrains.xml","Terrains.original.xml","tile","TERRAIN_DEEP_WATER","name","","TEXT.Name.Terrain.DeepWater","27","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
"Content\Config\Terrains.xml","Terrains.original.xml","tile","TERRAIN_DEEP_WATER","description","","TEXT.Description.Terrain.DeepWater","34","TextKeyReference","DoNotPatchHere","False","False","","False","This is a key/reference; translate the resolved text entry instead."
