"SourceFile","Kind","Original","Translation","Status","LocalizationAttempted","AttemptStatus","FailureReason","Safety","Notes","Locators"
"source\AtTheGatesCommon.original.dll","Common byte/string map","(available to","（适用于","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","...plus advanced versions of similar","……以及类似","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map",": NONE","： 无","Translated","Yes","Mapped","","","","hardcoded-common-strings.json | hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map",": NONE","：无","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Clan|CLAN]","[氏族|CLAN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Clans|CLAN]","[氏族|CLAN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Defense Power|DEFENSE]","[防御力|DEFENSE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Defense|DEFENSE]","[防御|DEFENSE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Discipline]","[纪律]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Discipline|DISCIPLINE]","[纪律|DISCIPLINE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Disciplines|DISCIPLINE]","[纪律|DISCIPLINE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Families]","[家庭]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Families|FAMILY]","[家庭|FAMILY]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Family]","[家庭]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Family|FAMILY]","[家庭|FAMILY]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Move Point]","[移动力]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Move Point|MOVE-POINT]","[移动力|MOVE-POINT]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Move Points|MOVE-POINT]","[移动力|MOVE-POINT]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Produced|PRODUCE]","[产出|PRODUCE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Production]","[产出]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Production|PRODUCE]","[产出|PRODUCE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Production|PRODUCE] per","[产出|PRODUCE]/","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Profession]","[职业]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Profession|PROFESSION]","[职业|PROFESSION]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Professions|PROFESSION]","[职业|PROFESSION]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Resource|RESOURCE] production is a fundamental part of At the Gates.[BLANK-LINE]Initially you will simply [Harvest|HARVEST] them from [Deposits|DEPOSIT] with [Foragers|FORAGE] or buy them from the [Caravan|CARAVAN], but once your tribe is a bit more developed you'll be able to start refining raw Resources like [IRON] into other things like [TOOLS] with the help of [Professions|PROFESSION] like the [BLACKSMITH].[BLANK-LINE]Because you have a limited number of [Clans|CLAN] it's usually best to prioritize the production of one or two Resources rather than try to do everything.","[资源|RESOURCE]生产是《At the Gates》经济的基础。[BLANK-LINE]起初，你只能让[采集者|FORAGE]从[资源点|DEPOSIT][采集|HARVEST]，或从[商队|CARAVAN]购买；部族发展后，就能借助[职业|PROFESSION]，如[BLACKSMITH]，把[IRON]等原料加工成[TOOLS]等成品。[BLANK-LINE]由于[氏族|CLAN]数量有限，通常应优先生产一两种关键[资源|RESOURCE]，不要试图什么都做。","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Structure]","[建筑]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Structure|STRUCTURE]","[建筑|STRUCTURE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Structures|STRUCTURE]","[建筑|STRUCTURE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Studied|STUDY]","[已研究|STUDY]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Study|STUDY]","[研究|STUDY]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Studying|STUDY]","[研究|STUDY]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Supply]","[补给]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Supply|SUPPLY]","[补给|SUPPLY]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Terrain|TERRAIN]","[地形|TERRAIN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Tile|TILE]","[地块|TILE]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Train|TRAIN]","[训练|TRAIN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Trained|TRAIN]","[训练|TRAIN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Training|TRAIN]","[训练|TRAIN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Turn]","[回合]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Turn|TURN]","[回合|TURN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","[Turns|TURN]","[回合|TURN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","a detailed breakdown of what is required to","所需条件：","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","a detailed breakdown of why you cannot","无法执行的详细原因：","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","a detailed breakdown of why you cannot Construct this Structure","无法建造此建筑的详细原因","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","a detailed breakdown of your Stockpile, Production, and Consumption of this Resource","此资源库存、产出和消耗明细","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Additional","额外","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Already [Learned|LEARN]","已[学会|LEARN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","can be [Trained|TRAIN] in.","。","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Cannot Fight","无法战斗","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Click to [Upgrade|UPGRADE]:","点击[升级|UPGRADE]：","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Click to see what [Professions|PROFESSION] [Clan|CLAN]","点击查看此[氏族|CLAN]可[训练|TRAIN]的[职业|PROFESSION]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Close","关闭","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Must first","必须先","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","per","/","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","per [Turn|TURN]","/[回合|TURN]","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","per turn","/回合","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Profession:","职业：","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Requires","需要","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Right Now","当前","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Right-click to write a note to attach to this card.","右键为此卡片写备注。","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Spend","花费","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","Stockpile / Production / Consumption","库存/产出/消耗","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","to [Upgrade|UPGRADE]:","用于[升级|UPGRADE]：","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common byte/string map","You can Study one [Tech|TECH] (usually a [Profession|PROFESSION]) at a time, and once [Learned|LEARN] you can [Train|TRAIN] your [Clans|CLAN] in it.[BLANK-LINE]The rate at which you Learn a Tech is based on its [KNOWLEDGE] cost, and how much [KNOWLEDGE] you're [Producing|PRODUCE] each turn.[BLANK-LINE]To Study more advanced Professions at least one Profession from the previous 'tier' in its [Discipline|DISCIPLINE] tree must have already been Learned.","你一次只能[研究|STUDY]一项[技术|TECH]（通常是[职业|PROFESSION]）。[学会|LEARN]后，就能将[氏族|CLAN][训练|TRAIN]为该职业。[BLANK-LINE][学习|LEARN]速度取决于该技术的[知识|KNOWLEDGE]成本，以及你每[回合|TURN][产出|PRODUCE]多少[知识|KNOWLEDGE]。[BLANK-LINE]要研究更高级的[职业|PROFESSION]，必须先学会同一[纪律|DISCIPLINE]树上一层的至少一项职业。","Translated","Yes","Mapped","","","","hardcoded-common-strings.json"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Already Exists","- 已存在","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=413"
