"Key","Text"
"TEXT.Testing.Basic","
		THIS IS A FAMILY ([ICON:FAMILY]) YO.
	"
"TEXT.Testing.Fancy","
		Having a few [ARCHER:S] in the early-game can really save your bacon.

		[Turns|TURN] are pretty gosh-darn important in this game.

		Testing our [COLOR:GOOD-GREEN]fancy-ish
		new [ICON:FAMILY] family system.[/COLOR]

		The question now is whether EVERYTHING works, as it's not entirely likely. When you're programming stuff you KNOW that SOMETHING is gonna be broken. Just the way life goes. :(
	"
"TEXT.Testing.Numbers","
		[FONT:CLEAN-SMALL]Our [ARCHER:S] are [Producing|PRODUCE] [+###:PRODUCED] [???:TO-RESOURCE|###:PRODUCED] from [???:FROM-RESOURCE][FONT:TITLE-HUGE] for [/FONT][COLOR:BAD-RED][...:LEADER-NAME][/COLOR] each [Turn|TURN] (total of [###:TURNS] [Turn|Turns|###:TURNS] left).[/FONT]
	"
"TEXT.Credits.Conifer","
		[COLOR:LINK-TEXT]Designer and Gameplay Programmer[/COLOR]

		Jon Shafer


		[COLOR:LINK-TEXT]Art Director[/COLOR]

		Kay Fedewa


		[COLOR:LINK-TEXT]Lead Programmer[/COLOR]

		Jonathan Christ


		[COLOR:LINK-TEXT]AI Programmer[/COLOR]

		Matija Kejzar
	"
"TEXT.Credits.AdditionalProgramming","
		[COLOR:LINK-TEXT]Linux and Mac Version[/COLOR]

		Ethan 'flibitijibibo' Lee
	"
"TEXT.Credits.AdditionalArtwork","
		[COLOR:LINK-TEXT]Unit Animations and Clan Paintings[/COLOR]

		Fable Siegel



		[COLOR:LINK-TEXT]User Interface Art[/COLOR]

		Jenna Croarkin



		[COLOR:LINK-TEXT]Additional Assets[/COLOR]

		Jean Cho



		[COLOR:LINK-TEXT]Logos[/COLOR]

		JoAnne Poniatowski



		[COLOR:LINK-TEXT]Title and Leader Paintings[/COLOR]

		Anna Podedworna



		[COLOR:LINK-TEXT]Additional Art[/COLOR]

		Tom Symonds

		Katherine Souza
	"
"TEXT.Credits.MusicAndSound","
		[COLOR:LINK-TEXT]In-Game Music[/COLOR]

		Dan Hartrell



		[COLOR:LINK-TEXT]Title Theme - Composition[/COLOR]

		Geoff Knorr



		[COLOR:LINK-TEXT]Title Theme - Cello Performance[/COLOR]

		Caleb Vaughn-Jones



		[COLOR:LINK-TEXT]Sound Effects[/COLOR]

		Ole M. 'cYsmix' Langlie
	"
"TEXT.Credits.Support","
		[COLOR:LINK-TEXT]Accounting[/COLOR]

		Tony M. Di Fatta, CPA

		Asher and Associates, LLC

		Goblin Accounting AB



		[COLOR:LINK-TEXT]Legal[/COLOR]

		David Fitzgerald, Wood Herron and Evans LLP

		Kathy Lochmann, P.C.



		[COLOR:LINK-TEXT]Evolve PR[/COLOR]

		Bryden Keks

		Tom Ohle

		Troy Goodfellow



		[COLOR:LINK-TEXT]Web Development[/COLOR]

		Bara Kathawa
	"
"TEXT.Credits.TopPatrons","
		Jon Beckmon
	"
"TEXT.Credits.SpecialThanks","
		Troy Goodfellow

		Scott Lewis

		Tomislav Uzelac

		Mike Duncan and 'The History of Rome' Podcast



		Our incredibly supportive friends and family.



		And of course... you! Without your support this game would not exist at all.

		Thank you.
	"
"TEXT.Name.Terrain.River","River#"
"TEXT.Name.Terrain.Stream","Stream#"
"TEXT.Name.Terrain.DeepWater","Deep Water"
"TEXT.Name.Terrain.ShallowWater","Shallow Water"
"TEXT.Name.Terrain.Mountain","Mountain#"
"TEXT.Name.Terrain.Hill","Hill#"
"TEXT.Name.Terrain.Fertile","Grassland#"
"TEXT.Name.Terrain.Dry","Steppe#"
"TEXT.Name.Terrain.Desert","Desert#"
"TEXT.Name.Terrain.Marsh","|Marsh|Marshes|"
"TEXT.Name.Terrain.Tundra","Tundra"
"TEXT.Name.Terrain.Cold","Cold"
"TEXT.Name.Terrain.Forest","Forest#"
"TEXT.Name.Terrain.Brush","Brush"
"TEXT.Name.Terrain.Snow","Snow"
"TEXT.Name.Terrain.Blizzard","Blizzard#"
"TEXT.Name.Terrain.Scorched","Scorched"
"TEXT.Name.Terrain.Rain","Heavy Rain#"
"TEXT.Name.Terrain.Flooded","Flooded"
"TEXT.Name.Terrain.Ice","Ice"
"TEXT.Name.Terrain.DormantVolcano","Dormant Volcano#"
"TEXT.Name.Terrain.ActiveVolcano","Active Volcano#"
"TEXT.Name.Terrain.EruptedVolcano","Erupted Volcano#"
"TEXT.Name.Profession.None","|Unemployed|Unemployed Clans|"
"TEXT.Name.Profession.Hunter","Hunter#"
"TEXT.Name.Profession.Archer","Archer#"
"TEXT.Name.Profession.FeastMaster","Feast Master#"
"TEXT.Name.Profession.Watchman","|Watchman|Watchmen|"
"TEXT.Name.Profession.Huntsman","|Huntsman|Huntsmen|"
"TEXT.Name.Profession.Priest","Priest#"
"TEXT.Name.Profession.Cleric","Cleric#"
"TEXT.Name.Profession.Pontiff","Pontiff#"
"TEXT.Name.Profession.LordOfTheHunt","|Lord of the Hunt|Lords of the Hunt|"
"TEXT.Name.Profession.HonorGuard","Honor Guard#"
"TEXT.Name.Profession.MasterOfCeremonies","|Master of Ceremonies|Masters of Ceremony|"
"TEXT.Name.Profession.Guildmaster","Guildmaster#"
"TEXT.Name.Profession.Quartermaster","Quartermaster#"
"TEXT.Name.Profession.TariffCollector","Tariff Collector#"
"TEXT.Name.Profession.Spearman","|Spearman|Spearmen|"
"TEXT.Name.Profession.HeavyInfantry","|Man-At-Arms|Men-At-Arms|"
"TEXT.Name.Profession.LightCavalry","Lancer#"
"TEXT.Name.Profession.HeavyCavalry","Knight#"
"TEXT.Name.Profession.HorseArcher","Horse Archer#"
"TEXT.Name.Profession.Gatherer","Gatherer#"
"TEXT.Name.Profession.Reaper","Reaper#"
"TEXT.Name.Profession.Beekeeper","Beekeeper#"
"TEXT.Name.Profession.BreadMaker","Bread Maker#"
"TEXT.Name.Profession.Baker","Baker#"
"TEXT.Name.Profession.Farmer","Farmer#"
"TEXT.Name.Profession.AleMaker","Ale Maker#"
"TEXT.Name.Profession.Brewer","Brewer#"
"TEXT.Name.Profession.Brewmaster","Brewmaster#"
"TEXT.Name.Profession.Winemaker","Winemaker#"
"TEXT.Name.Profession.WineMaster","Wine Master#"
"TEXT.Name.Profession.WineVintner","Wine Vintner#"
"TEXT.Name.Profession.OverseerOfTheHarvest","|Overseer of the Harvest|Overseers of the Harvest|"
"TEXT.Name.Profession.Huller","Huller#"
"TEXT.Name.Profession.Gardener","Gardener#"
"TEXT.Name.Profession.Briner","Briner#"
"TEXT.Name.Profession.MasterBriner","Master Briner#"
"TEXT.Name.Profession.Preserver","Preserver#"
"TEXT.Name.Profession.OilPresser","Oil Presser#"
"TEXT.Name.Profession.OilCrafter","Oil Crafter#"
"TEXT.Name.Profession.OilCultivar","Oil Cultivar#"
"TEXT.Name.Profession.LordOfTheHarvest","|Lord of the Harvest|Lords of the Harvest|"
"TEXT.Name.Profession.Tiller","Tiller#"
"TEXT.Name.Profession.MasterOfTheHarvest","|Master of the Harvest|Masters of the Harvest|"
"TEXT.Name.Profession.Harvester","Harvester#"
"TEXT.Name.Profession.SledgeDriver","Sledge Driver#"
"TEXT.Name.Profession.Fisherman","|Fisherman|Fishermen|"
"TEXT.Name.Profession.Trawler","Trawler#"
"TEXT.Name.Profession.Rancher","Rancher#"
"TEXT.Name.Profession.Trapper","Trapper#"
"TEXT.Name.Profession.Tracker","Tracker#"
"TEXT.Name.Profession.WoolCollector","Wool Collector#"
"TEXT.Name.Profession.Shearer","Shearer#"
"TEXT.Name.Profession.MasterShearer","Master Shearer#"
"TEXT.Name.Profession.OverseerOfTheRange","|Overseer of the Range|Overseers of the Range|"
"TEXT.Name.Profession.Plougher","Plougher#"
"TEXT.Name.Profession.MeatCurer","Meat Curer#"
"TEXT.Name.Profession.MasterCurer","Master Curer#"
"TEXT.Name.Profession.MeatPreserver","Meat Preserver#"
"TEXT.Name.Profession.MeatCutter","Meat Cutter#"
"TEXT.Name.Profession.Butcher","Butcher#"
"TEXT.Name.Profession.MasterButcher","Master Butcher#"
"TEXT.Name.Profession.ParchmentMaker","Parchment Maker#"
"TEXT.Name.Profession.ParchmentCrafter","Parchment Crafter#"
"TEXT.Name.Profession.VellumMaker","Vellum Maker#"
"TEXT.Name.Profession.HorseTrainer","Horse Trainer#"
"TEXT.Name.Profession.HorseBreeder","Horse Breeder#"
"TEXT.Name.Profession.LordOfTheRange","|Lord of the Range|Lords of the Range|"
"TEXT.Name.Profession.MeatSmoker","Meat Smoker#"
"TEXT.Name.Profession.Cheesemaker","Cheesemaker#"
"TEXT.Name.Profession.CheeseCrafter","Cheese Crafter#"
"TEXT.Name.Profession.Fishmonger","Fishmonger#"
"TEXT.Name.Profession.Shepherd","Shepherd#"
"TEXT.Name.Profession.Digger","Digger#"
"TEXT.Name.Profession.Dredger","Dredger#"
"TEXT.Name.Profession.Weaponsmith","Weaponsmith#"
"TEXT.Name.Profession.Bladesmith","Bladesmith#"
"TEXT.Name.Profession.AnvilMaker","Anvil Maker#"
"TEXT.Name.Profession.Miner","Miner#"
"TEXT.Name.Profession.Smelter","Smelter#"
"TEXT.Name.Profession.Blacksmith","Blacksmith#"
"TEXT.Name.Profession.Toolsmith","Toolsmith#"
"TEXT.Name.Profession.ToolCrafter","Tool Crafter#"
"TEXT.Name.Profession.CoalMaker","Coal Maker#"
"TEXT.Name.Profession.Coalsmith","Coalsmith#"
"TEXT.Name.Profession.Collier","Collier#"
"TEXT.Name.Profession.OverseerOfTheDepths","|Overseer of the Depths|Overseers of the Depths|"
"TEXT.Name.Profession.Sharpener","Sharpener#"
"TEXT.Name.Profession.Nailsmith","Nailsmith#"
"TEXT.Name.Profession.MetalCaster","Metal Caster#"
"TEXT.Name.Profession.Armorsmith","Armorsmith#"
"TEXT.Name.Profession.ArmorCrafter","Armor Crafter#"
"TEXT.Name.Profession.LordOfTheDepths","|Lord of the Depths|Lords of the Depths|"
"TEXT.Name.Profession.Armorer","Armorer#"
"TEXT.Name.Profession.Steelmaker","Steelmaker#"
"TEXT.Name.Profession.Steelsmith","Steelsmith#"
"TEXT.Name.Profession.SteelBlacksmith","Steel Blacksmith#"
"TEXT.Name.Profession.SteelToolsmith","Steel Toolsmith#"
"TEXT.Name.Profession.SteelWeaponsmith","Steel Weaponsmith#"
"TEXT.Name.Profession.SteelBladesmith","Steel Bladesmith#"
"TEXT.Name.Profession.Glassmaker","Glassmaker#"
"TEXT.Name.Profession.Glassblower","Glassblower#"
"TEXT.Name.Profession.MasterOfTheDepths","|Master of the Depths|Masters of the Depths|"
"TEXT.Name.Profession.SteelArmorsmith","Steel Armorsmith#"
"TEXT.Name.Profession.Coinmaker","Coinmaker#"
"TEXT.Name.Profession.WoodCollector","Wood Collector#"
"TEXT.Name.Profession.BasketMaker","Basket Maker#"
"TEXT.Name.Profession.Potter","Potter#"
"TEXT.Name.Profession.Carpenter","Carpenter#"
"TEXT.Name.Profession.WoodBundler","Wood Bundler#"
"TEXT.Name.Profession.Logger","Logger#"
"TEXT.Name.Profession.Brickmaker","Brickmaker#"
"TEXT.Name.Profession.KilnMaster","Kiln Master#"
"TEXT.Name.Profession.Weaver","Weaver#"
"TEXT.Name.Profession.MasterWeaver","Master Weaver#"
"TEXT.Name.Profession.YarnSpinner","Yarn Spinner#"
"TEXT.Name.Profession.Cooper","Cooper#"
"TEXT.Name.Profession.Woodcarver","Woodcarver#"
